"","crimes","lat","lon"
"187","Arson",43.0463763,-87.9282745
"188","Arson",43.0633126890287,-87.9169619538417
"189","Arson",43.0646604,-87.9584274
"190","Arson",43.0173869,-87.9304773
"191","Arson",43.0037896404604,-87.9199943356596
"192","Arson",42.9836939,-87.9566108
"193","Arson",42.9975389354298,-87.9161835397911
"194","Arson",43.0249043845071,-87.9266429853276
"195","Arson",43.064514,-87.9642452
"196","Arson",43.0727263378064,-87.9509406381528
"197","Arson",42.9989204,-87.9216135
"198","Arson",43.0671162,-87.9434654
"199","Arson",43.0603614,-87.9569185
"200","Arson",42.9979137,-87.9302443
"201","Arson",43.0756985157465,-87.9562159680196
"202","Arson",43.1061547,-87.9436275
"203","Arson",43.114019,-87.9479558
"204","Arson",43.1164979613529,-88.0272877489961
"205","Arson",43.0813792,-88.0273057
"206","Arson",43.0247132,-87.9214416
"207","Arson",43.1074768,-87.9859524
"208","Arson",43.0615661,-87.9245109
"209","Arson",43.0715973461492,-88.0062929841053
"210","Arson",43.0615661,-87.9245109
"211","Arson",43.1136291,-87.9871432
"212","Arson",43.1082868,-88.0126786
"213","Arson",43.0171243816382,-87.9382778718165
"214","Arson",43.1633101683903,-88.0395861474283
"215","Arson",43.0204506,-87.9392132
"216","Arson",43.0688518,-87.9103941
"217","Arson",43.0842117297475,-87.9108536585426
"218","Arson",43.0787380279442,-87.9138800549294
"219","Arson",43.0090324,-87.9500931
"220","Arson",43.0660762,-87.9681976
"221","Arson",43.0058726071761,-87.9247223698065
"222","Arson",43.0030749,-87.9251172
"223","Arson",43.0035017,-87.9254202
"224","Arson",43.1151746,-87.9954091
"225","Arson",43.0123017796154,-87.9386999349413
"226","Arson",43.0807146,-87.9270874
"227","Arson",43.1297211,-87.9594495
"228","Arson",43.1178136061896,-87.9505493518538
"229","Arson",43.0942096588822,-87.9353369223102
"230","Arson",43.0610755,-87.9733414
"231","Arson",43.0910395,-87.9695568
"232","Arson",43.0642833487619,-87.9253725354052
"233","Arson",42.9972986,-87.9315719
"234","Arson",43.1121134939491,-88.0235217988226
"235","Arson",43.0693714,-87.9828089
"236","Arson",43.0397247,-87.9535113
"237","Arson",43.072850198558,-87.9963140680127
"238","Arson",43.1115492,-87.9927869
"239","Arson",43.090423499048,-87.98700179861
"240","Arson",43.1795077516452,-88.0313285143737
"241","Arson",43.1075794,-87.953713
"242","Arson",43.0457319,-87.9699169
"243","Arson",43.1061953,-87.9669627
"244","Arson",43.0714279,-87.9777515
"245","Arson",43.1166975765942,-87.965133881897
"246","Arson",43.0561875574988,-87.9368329145965
"247","Arson",42.9973673,-87.9566032
"248","Arson",43.0578049,-87.9650154
"249","Arson",43.0221097,-87.9452656
"250","Arson",43.101574,-87.995233
"251","Arson",43.0485152,-87.9665135
"252","Arson",43.0403820139295,-87.9544692410932
"253","Arson",43.0561029,-87.9530802
"254","Arson",43.0210903502359,-87.9463149854283
"255","AssaultOffense",43.0972095,-87.9464073
"256","AssaultOffense",43.0584648,-87.9326105
"257","AssaultOffense",43.0672708,-87.9459458
"258","AssaultOffense",43.0688398,-87.969436
"259","AssaultOffense",43.11474058,-87.99313985
"260","AssaultOffense",43.0976486,-87.9684282
"261","AssaultOffense",43.0126952,-87.9420206
"262","AssaultOffense",43.0909576,-87.9812989
"263","AssaultOffense",43.07711096,-87.95728655
"264","AssaultOffense",43.0526882,-87.9571728
"265","AssaultOffense",43.0464016,-87.9496883
"266","AssaultOffense",43.017129,-87.93067847
"267","AssaultOffense",43.15712548,-88.00670308
"268","AssaultOffense",43.00276123,-87.92758391
"269","AssaultOffense",43.07421528,-87.96978258
"270","AssaultOffense",43.07156387,-87.94002367
"271","AssaultOffense",42.9974358,-87.9532701
"272","AssaultOffense",43.089158,-87.9866121
"273","AssaultOffense",43.00246123,-87.90483626
"274","AssaultOffense",43.09703512,-87.93615934
"275","AssaultOffense",43.00245943,-87.93346847
"276","AssaultOffense",43.1050581,-87.9859085
"277","AssaultOffense",43.04597401,-87.95556343
"278","AssaultOffense",43.11762432,-88.02960926
"279","AssaultOffense",43.18619994,-88.00290861
"280","AssaultOffense",43.0780581,-87.9245766
"281","AssaultOffense",43.00098553,-87.93349932
"282","AssaultOffense",43.00098553,-87.93349932
"283","AssaultOffense",43.13871381,-88.03892581
"284","AssaultOffense",43.1067596,-88.0189648
"285","AssaultOffense",43.0886231,-88.0019157
"286","AssaultOffense",43.0671997,-87.9818267
"287","AssaultOffense",43.07420328,-87.94614159
"288","AssaultOffense",43.001141,-87.9204931
"289","AssaultOffense",43.0986902,-88.0130035
"290","AssaultOffense",43.01555372,-87.92267372
"291","AssaultOffense",43.1056975,-87.9724515
"292","AssaultOffense",43.0274975,-87.9173485
"293","AssaultOffense",43.18261074,-88.00266293
"294","AssaultOffense",43.0166622,-87.92244948
"295","AssaultOffense",43.1136481,-87.9988431
"296","AssaultOffense",43.0745535,-87.9451594
"297","AssaultOffense",43.1251567,-88.0037106
"298","AssaultOffense",43.0491485,-87.9411425
"299","AssaultOffense",43.06344162,-87.92676925
"300","AssaultOffense",42.9379086,-87.9533596
"301","AssaultOffense",43.08600036,-87.93096497
"302","AssaultOffense",43.1339852,-88.021905
"303","AssaultOffense",43.1049845,-87.9510536
"304","AssaultOffense",43.0568148,-87.9585423
"305","AssaultOffense",43.1834898,-87.9988285
"306","AssaultOffense",43.1228246,-87.9655219
"307","AssaultOffense",43.08460098,-87.92522507
"308","AssaultOffense",42.9604092,-87.9478097
"309","AssaultOffense",43.0478304,-87.9608415
"310","AssaultOffense",43.06111945,-87.93398537
"311","AssaultOffense",43.08670374,-87.9410912
"312","AssaultOffense",43.1336122,-88.006372
"313","AssaultOffense",43.0841089,-87.988
"314","AssaultOffense",43.0166437,-87.92527436
"315","AssaultOffense",43.1062802,-87.9890867
"316","AssaultOffense",43.09082439,-87.93789331
"317","AssaultOffense",43.0650907,-87.9190186
"318","AssaultOffense",43.0987523,-87.9483404
"319","AssaultOffense",43.03369688,-87.95764394
"320","AssaultOffense",43.14012051,-88.04075843
"321","AssaultOffense",43.1513447,-88.0345947
"322","AssaultOffense",43.0800711,-87.9455906
"323","AssaultOffense",43.18216808,-88.03154794
"324","AssaultOffense",43.11397939,-87.97267786
"325","AssaultOffense",43.02037551,-87.93818442
"326","AssaultOffense",42.993383,-87.9222709
"327","AssaultOffense",43.0545969,-87.9382522
"328","AssaultOffense",43.00079698,-87.92617412
"329","AssaultOffense",43.17753254,-88.02173843
"330","AssaultOffense",43.0647528,-87.9771449
"331","AssaultOffense",43.0704507,-87.9708093
"332","AssaultOffense",43.0785378,-87.9512678
"333","AssaultOffense",43.01695066,-87.92261805
"334","AssaultOffense",43.04445419,-87.92780789
"335","AssaultOffense",43.11171649,-87.98857657
"336","AssaultOffense",43.0374011,-87.9419669
"337","AssaultOffense",43.04444071,-87.94930832
"338","AssaultOffense",43.04971495,-87.92342705
"339","AssaultOffense",42.9445307,-87.9470285
"340","AssaultOffense",43.05478605,-87.94524814
"341","AssaultOffense",43.0945567,-87.9754419
"342","AssaultOffense",43.0664245,-87.9783481
"343","AssaultOffense",43.01908303,-87.92810533
"344","AssaultOffense",43.09055875,-87.97358096
"345","AssaultOffense",43.13041785,-88.02441731
"346","AssaultOffense",43.09676092,-87.96716813
"347","AssaultOffense",42.9255596,-87.9400091
"348","AssaultOffense",43.1403341,-87.9841044
"349","AssaultOffense",43.0339016,-87.9557835
"350","AssaultOffense",42.988415,-87.98459345
"351","AssaultOffense",43.07960441,-87.91375655
"352","AssaultOffense",43.0023722,-87.9135842
"353","AssaultOffense",43.0810113,-87.9457163
"354","AssaultOffense",43.02819896,-87.98622674
"355","AssaultOffense",43.11948966,-88.03081868
"356","AssaultOffense",43.077553,-87.9481494
"357","AssaultOffense",43.07722236,-87.93826268
"358","AssaultOffense",43.043579,-87.9533711
"359","AssaultOffense",43.01227664,-87.9502716
"360","AssaultOffense",43.0855203,-87.926351
"361","AssaultOffense",43.01918172,-87.93128519
"362","AssaultOffense",43.0183775,-87.9291184
"363","AssaultOffense",43.0183775,-87.9291184
"364","AssaultOffense",43.02430128,-87.92045579
"365","AssaultOffense",43.03862999,-87.95087919
"366","AssaultOffense",43.0721713,-87.9714761
"367","AssaultOffense",43.0573745,-87.9708262
"368","AssaultOffense",43.0764342,-87.9683294
"369","AssaultOffense",43.1112318,-87.990934
"370","AssaultOffense",43.0764342,-87.9683294
"371","AssaultOffense",43.0781281,-87.9431764
"372","AssaultOffense",43.0766912,-87.9277736
"373","AssaultOffense",43.0729087,-87.9185778
"374","AssaultOffense",43.11949335,-88.04166426
"375","AssaultOffense",43.0726698,-87.9256951
"376","AssaultOffense",43.0401909,-87.95116449
"377","AssaultOffense",43.1859776,-88.00273683
"378","AssaultOffense",43.101598,-88.0122861
"379","AssaultOffense",43.08966997,-87.94497506
"380","AssaultOffense",43.14844646,-87.95925289
"381","AssaultOffense",43.0987335,-87.9445401
"382","AssaultOffense",43.0139054,-87.9416699
"383","AssaultOffense",43.12524129,-87.96613988
"384","AssaultOffense",43.0860637,-87.9325076
"385","AssaultOffense",43.1233733,-87.994336
"386","AssaultOffense",43.08810788,-87.93438182
"387","AssaultOffense",43.07795221,-87.94340286
"388","AssaultOffense",43.12356859,-88.02357138
"389","AssaultOffense",43.10497514,-87.99779774
"390","AssaultOffense",42.9804969,-87.9927205
"391","AssaultOffense",43.0933299,-87.9713263
"392","AssaultOffense",43.07503343,-88.0229296
"393","AssaultOffense",43.0827052,-87.9245748
"394","AssaultOffense",43.06880988,-87.94129743
"395","AssaultOffense",43.04462402,-87.95058779
"396","AssaultOffense",43.11470876,-87.94766783
"397","AssaultOffense",43.07503343,-88.0229296
"398","AssaultOffense",43.14861324,-87.95753051
"399","AssaultOffense",43.1454737,-87.9590569
"400","AssaultOffense",43.1006041,-87.9683864
"401","AssaultOffense",43.07285652,-87.90506574
"402","AssaultOffense",43.1359882,-87.9953743
"403","AssaultOffense",43.0766345,-87.924736
"404","AssaultOffense",43.1098208,-87.9896885
"405","AssaultOffense",43.0653818,-87.960084
"406","AssaultOffense",43.1134031,-87.951711
"407","AssaultOffense",43.0188287,-87.93818868
"408","AssaultOffense",43.08365501,-87.95966401
"409","AssaultOffense",43.0637013,-87.9816085
"410","AssaultOffense",43.1443485,-87.9627726
"411","AssaultOffense",43.0953441,-87.9377825
"412","AssaultOffense",43.0766589,-87.9221376
"413","AssaultOffense",43.1138454,-88.0544607
"414","AssaultOffense",43.12608074,-87.99583391
"415","AssaultOffense",43.0601152,-87.9583905
"416","AssaultOffense",43.1095537,-88.0411212
"417","AssaultOffense",43.07369855,-87.91702791
"418","AssaultOffense",42.9968632,-87.9247029
"419","AssaultOffense",43.0553393,-87.9411853
"420","AssaultOffense",43.01504408,-87.91408606
"421","AssaultOffense",43.01504408,-87.91408606
"422","AssaultOffense",43.00832076,-87.93485647
"423","AssaultOffense",43.0068305,-87.9400308
"424","AssaultOffense",43.0068305,-87.9400308
"425","AssaultOffense",43.0636101,-87.9218498
"426","AssaultOffense",43.18238111,-88.01553264
"427","AssaultOffense",43.00918959,-87.93661392
"428","AssaultOffense",43.11912322,-88.00343456
"429","AssaultOffense",43.0525912,-87.9533086
"430","AssaultOffense",43.08021841,-87.99618193
"431","AssaultOffense",43.0598822,-87.8907918
"432","AssaultOffense",43.0814042,-87.9740278
"433","AssaultOffense",43.1051683,-87.9596709
"434","AssaultOffense",43.0601857,-87.923344
"435","AssaultOffense",43.07295891,-87.94616676
"436","AssaultOffense",43.01694607,-87.93199065
"437","AssaultOffense",43.08021841,-87.99618193
"438","AssaultOffense",43.0848377,-87.9993432
"439","AssaultOffense",43.1214257,-87.9845454
"440","AssaultOffense",43.0701773,-87.9782851
"441","AssaultOffense",43.086512,-87.96224457
"442","AssaultOffense",43.1060189,-88.0483175
"443","AssaultOffense",43.1268466,-88.0483786
"444","AssaultOffense",43.10816085,-87.93434049
"445","AssaultOffense",42.96808344,-87.91944902
"446","AssaultOffense",42.9935392,-87.9271099
"447","AssaultOffense",43.1419032,-87.9641584
"448","AssaultOffense",43.05289301,-87.95004234
"449","AssaultOffense",43.01003571,-87.92410363
"450","AssaultOffense",43.043812,-87.9446642
"451","AssaultOffense",43.03876504,-87.9628133
"452","AssaultOffense",43.03919975,-87.95063718
"453","AssaultOffense",43.11104996,-87.93705972
"454","AssaultOffense",43.10471515,-87.96811763
"455","AssaultOffense",43.05378492,-87.89266699
"456","AssaultOffense",43.12546256,-87.96611099
"457","AssaultOffense",43.0983806,-87.9787759
"458","AssaultOffense",43.0984634,-87.992137
"459","AssaultOffense",43.017035,-87.93719929
"460","AssaultOffense",43.08458312,-87.92473501
"461","AssaultOffense",43.04011998,-87.9094192
"462","AssaultOffense",43.05303399,-87.89495937
"463","AssaultOffense",43.07614151,-87.95745581
"464","AssaultOffense",43.04011998,-87.9094192
"465","AssaultOffense",43.00177805,-87.92355452
"466","AssaultOffense",42.9990611,-87.9496142
"467","AssaultOffense",43.1106087,-88.0117378
"468","AssaultOffense",43.07606536,-87.9562099
"469","AssaultOffense",43.1048674,-87.9653098
"470","AssaultOffense",43.10605879,-87.96161936
"471","AssaultOffense",43.08487703,-87.94576181
"472","AssaultOffense",43.037406,-87.9452653
"473","AssaultOffense",42.97702531,-87.99783687
"474","AssaultOffense",43.1476184,-87.9587804
"475","AssaultOffense",43.0668994,-87.9765674
"476","AssaultOffense",43.00019708,-87.93348939
"477","AssaultOffense",43.16257641,-87.989255
"478","AssaultOffense",43.04839299,-87.92047583
"479","AssaultOffense",43.13494783,-88.03906004
"480","AssaultOffense",43.03559219,-87.96270906
"481","AssaultOffense",43.10993545,-87.96272534
"482","AssaultOffense",43.06415334,-87.93157488
"483","AssaultOffense",43.0809044,-87.9091332
"484","AssaultOffense",43.10920897,-87.9387805
"485","AssaultOffense",43.0199813,-87.9319612
"486","AssaultOffense",43.013194,-87.9518997
"487","AssaultOffense",43.06677357,-87.93388481
"488","AssaultOffense",43.1174388,-88.0073771
"489","AssaultOffense",43.0720131,-87.8808375
"490","AssaultOffense",43.11777486,-87.96577261
"491","AssaultOffense",43.088321,-87.9243048
"492","AssaultOffense",43.0716961,-87.963641
"493","AssaultOffense",42.98259491,-87.93271984
"494","AssaultOffense",43.08215684,-87.99550246
"495","AssaultOffense",43.0986902,-88.0130035
"496","AssaultOffense",43.05854472,-87.95745415
"497","AssaultOffense",43.10827019,-88.01605385
"498","AssaultOffense",43.16252979,-87.98924224
"499","AssaultOffense",43.1202617,-88.0012742
"500","AssaultOffense",43.18541751,-88.02645405
"501","AssaultOffense",43.08183001,-87.98457889
"502","AssaultOffense",43.05363543,-87.94797003
"503","AssaultOffense",43.07530187,-87.95538352
"504","AssaultOffense",43.0655627,-87.9081145
"505","AssaultOffense",43.094331,-87.9680446
"506","AssaultOffense",43.0695162,-87.9727595
"507","AssaultOffense",43.0633399,-87.9447083
"508","AssaultOffense",43.08651722,-87.97850364
"509","AssaultOffense",43.01024799,-87.92701215
"510","AssaultOffense",43.037406,-87.9452653
"511","AssaultOffense",43.02296023,-87.94919726
"512","AssaultOffense",43.08518365,-87.89738975
"513","AssaultOffense",43.04066825,-87.93654736
"514","AssaultOffense",43.06667412,-87.97487011
"515","AssaultOffense",42.96651904,-87.94039785
"516","AssaultOffense",43.13415997,-88.02348325
"517","AssaultOffense",42.98251517,-88.02748668
"518","AssaultOffense",43.09269543,-87.97220979
"519","AssaultOffense",43.1627865,-88.031631
"520","AssaultOffense",43.1183137,-87.9783483
"521","AssaultOffense",43.0653835,-87.9670802
"522","AssaultOffense",43.0846059,-88.035192
"523","AssaultOffense",43.00841849,-87.95413822
"524","AssaultOffense",43.0598816,-87.9595837
"525","AssaultOffense",43.11949518,-88.0050605
"526","AssaultOffense",43.05286742,-87.90423347
"527","AssaultOffense",43.06011766,-87.89914226
"528","AssaultOffense",43.1252134,-87.9981859
"529","AssaultOffense",43.0831544,-87.93448041
"530","AssaultOffense",43.11949335,-88.04166426
"531","AssaultOffense",43.07102757,-87.95848304
"532","AssaultOffense",43.05551605,-87.9600368
"533","AssaultOffense",43.02429891,-87.91966504
"534","AssaultOffense",43.07460011,-87.97242022
"535","AssaultOffense",43.13156388,-88.02939321
"536","AssaultOffense",43.00066752,-87.92116206
"537","AssaultOffense",42.9910359,-87.9564777
"538","AssaultOffense",43.0754296,-88.00312678
"539","AssaultOffense",43.1028139,-87.974047
"540","AssaultOffense",43.0612851,-87.8800866
"541","AssaultOffense",42.969934,-87.89832414
"542","AssaultOffense",43.10818399,-87.96090033
"543","AssaultOffense",43.07464252,-87.90847167
"544","AssaultOffense",43.08784553,-87.93218741
"545","AssaultOffense",43.0067932,-87.9337923
"546","AssaultOffense",43.05654416,-87.90599037
"547","AssaultOffense",43.160333,-87.98504649
"548","AssaultOffense",43.14370697,-87.95527743
"549","AssaultOffense",43.0174459,-87.9294695
"550","AssaultOffense",43.1599816,-88.0309391
"551","AssaultOffense",43.0783035,-87.9849066
"552","AssaultOffense",42.93761307,-87.92979789
"553","AssaultOffense",43.12795511,-87.98736251
"554","AssaultOffense",43.01338217,-87.92796685
"555","AssaultOffense",42.96055245,-87.94386863
"556","AssaultOffense",42.9804033,-87.9176188
"557","AssaultOffense",43.0992547,-87.9483437
"558","AssaultOffense",43.17033428,-88.04195193
"559","AssaultOffense",42.98193472,-87.94473234
"560","AssaultOffense",43.01606938,-87.95044737
"561","AssaultOffense",43.0722557,-87.98522056
"562","AssaultOffense",42.98628765,-88.00760018
"563","AssaultOffense",43.04154813,-87.92314467
"564","AssaultOffense",43.0638804,-87.9691693
"565","AssaultOffense",43.06119547,-87.93750201
"566","AssaultOffense",43.0926455,-88.0026903
"567","AssaultOffense",43.08974151,-87.93967083
"568","AssaultOffense",43.13401894,-88.0145159
"569","AssaultOffense",43.08211249,-88.01500292
"570","AssaultOffense",43.18165922,-88.033014
"571","AssaultOffense",42.99011823,-87.93155312
"572","AssaultOffense",43.0401909,-87.95116449
"573","AssaultOffense",43.0863119,-87.933035
"574","AssaultOffense",43.0065556,-87.9454626
"575","AssaultOffense",43.05654416,-87.90599037
"576","AssaultOffense",43.0804312,-88.0171456
"577","AssaultOffense",43.14389512,-87.95685993
"578","AssaultOffense",43.11208828,-88.02361538
"579","AssaultOffense",43.0307741,-88.0027514
"580","AssaultOffense",43.0574947,-87.9682383
"581","AssaultOffense",43.1223706,-87.9880954
"582","AssaultOffense",43.11861967,-88.02970954
"583","AssaultOffense",43.07530124,-87.9701292
"584","AssaultOffense",42.99890211,-87.92864359
"585","AssaultOffense",43.10722841,-88.04328639
"586","AssaultOffense",43.1239424,-87.9656798
"587","AssaultOffense",42.9666994,-87.89502983
"588","AssaultOffense",43.0615812,-87.91876
"589","AssaultOffense",43.08595781,-87.96225482
"590","AssaultOffense",43.0614533,-87.9266361
"591","AssaultOffense",43.0899717,-87.9242356
"592","AssaultOffense",43.123394,-88.0261916
"593","AssaultOffense",43.09773038,-87.9968164
"594","AssaultOffense",43.1114031,-88.0553265
"595","AssaultOffense",42.9987759,-87.92864624
"596","AssaultOffense",43.06576538,-87.91693689
"597","AssaultOffense",43.00776181,-87.93442135
"598","AssaultOffense",43.12380001,-88.00087402
"599","AssaultOffense",43.05127763,-87.93781452
"600","AssaultOffense",43.07172447,-87.936871
"601","AssaultOffense",43.0875797,-87.9633289
"602","AssaultOffense",43.04604584,-87.96834748
"603","AssaultOffense",43.0720276,-87.9594082
"604","AssaultOffense",43.1239955,-87.9949473
"605","AssaultOffense",43.05646915,-87.95629137
"606","AssaultOffense",43.06799914,-87.96880226
"607","AssaultOffense",43.1240993,-87.9875382
"608","AssaultOffense",43.08789708,-87.93230514
"609","AssaultOffense",43.0180758,-87.9370564
"610","AssaultOffense",43.1042881,-87.974682
"611","AssaultOffense",43.01358573,-87.91691421
"612","AssaultOffense",43.1170136,-87.9857683
