"","lat","lon","crime","cluster"
"178",43.0794727,-87.9400095,"Arson","1"
"179",43.0641970222234,-87.9756381626751,"Arson","1"
"180",43.0178706774302,-87.9343744191844,"Arson","4"
"181",43.0671082,-87.9625247,"Arson","1"
"182",43.0729529,-87.923579,"Arson","1"
"183",43.0689047,-87.90804,"Arson","1"
"184",43.1279008,-88.0322332,"Arson","1"
"185",43.0495925,-87.9490955,"Arson","2"
"186",43.0612643,-87.9728621,"Arson","1"
"187",43.0463763,-87.9282745,"Arson","1"
"188",43.0633126890287,-87.9169619538417,"Arson","1"
"189",43.0646604,-87.9584274,"Arson","1"
"190",43.0173869,-87.9304773,"Arson","4"
"191",43.0037896404604,-87.9199943356596,"Arson","4"
"192",42.9836939,-87.9566108,"Arson","1"
"193",42.9975389354298,-87.9161835397911,"Arson","4"
"194",43.0249043845071,-87.9266429853276,"Arson","4"
"195",43.064514,-87.9642452,"Arson","1"
"196",43.0727263378064,-87.9509406381528,"Arson","1"
"197",42.9989204,-87.9216135,"Arson","4"
"198",43.0671162,-87.9434654,"Arson","1"
"199",43.0603614,-87.9569185,"Arson","1"
"200",42.9979137,-87.9302443,"Arson","4"
"201",43.0756985157465,-87.9562159680196,"Arson","1"
"202",43.1061547,-87.9436275,"Arson","1"
"203",43.114019,-87.9479558,"Arson","1"
"204",43.1164979613529,-88.0272877489961,"Arson","1"
"205",43.0813792,-88.0273057,"Arson","1"
"206",43.0247132,-87.9214416,"Arson","4"
"207",43.1074768,-87.9859524,"Arson","1"
"208",43.0615661,-87.9245109,"Arson","1"
"209",43.0715973461492,-88.0062929841053,"Arson","1"
"210",43.0615661,-87.9245109,"Arson","1"
"211",43.1136291,-87.9871432,"Arson","1"
"212",43.1082868,-88.0126786,"Arson","1"
"213",43.0171243816382,-87.9382778718165,"Arson","4"
"214",43.1633101683903,-88.0395861474283,"Arson","1"
"215",43.0204506,-87.9392132,"Arson","4"
"216",43.0688518,-87.9103941,"Arson","1"
"217",43.0842117297475,-87.9108536585426,"Arson","1"
"218",43.0787380279442,-87.9138800549294,"Arson","1"
"219",43.0090324,-87.9500931,"Arson","4"
"220",43.0660762,-87.9681976,"Arson","1"
"221",43.0058726071761,-87.9247223698065,"Arson","4"
"222",43.0030749,-87.9251172,"Arson","4"
"223",43.0035017,-87.9254202,"Arson","4"
"224",43.1151746,-87.9954091,"Arson","1"
"225",43.0123017796154,-87.9386999349413,"Arson","4"
"226",43.0807146,-87.9270874,"Arson","1"
"227",43.1297211,-87.9594495,"Arson","1"
"228",43.1178136061896,-87.9505493518538,"Arson","1"
"229",43.0942096588822,-87.9353369223102,"Arson","1"
"230",43.0610755,-87.9733414,"Arson","1"
"231",43.0910395,-87.9695568,"Arson","1"
"232",43.0642833487619,-87.9253725354052,"Arson","1"
"233",42.9972986,-87.9315719,"Arson","4"
"234",43.1121134939491,-88.0235217988226,"Arson","1"
"235",43.0693714,-87.9828089,"Arson","1"
"236",43.0397247,-87.9535113,"Arson","2"
"237",43.072850198558,-87.9963140680127,"Arson","1"
"238",43.1115492,-87.9927869,"Arson","1"
"239",43.090423499048,-87.98700179861,"Arson","1"
"240",43.1795077516452,-88.0313285143737,"Arson","1"
"241",43.1075794,-87.953713,"Arson","1"
"242",43.0457319,-87.9699169,"Arson","1"
"243",43.1061953,-87.9669627,"Arson","1"
"244",43.0714279,-87.9777515,"Arson","1"
"245",43.1166975765942,-87.965133881897,"Arson","1"
"246",43.0561875574988,-87.9368329145965,"Arson","1"
"247",42.9973673,-87.9566032,"Arson","1"
"248",43.0578049,-87.9650154,"Arson","1"
"249",43.0221097,-87.9452656,"Arson","4"
"250",43.101574,-87.995233,"Arson","1"
"251",43.0485152,-87.9665135,"Arson","1"
"252",43.0403820139295,-87.9544692410932,"Arson","2"
"253",43.0561029,-87.9530802,"Arson","1"
"254",43.0210903502359,-87.9463149854283,"Arson","4"
"255",43.0972095,-87.9464073,"AssaultOffense","1"
"256",43.0584648,-87.9326105,"AssaultOffense","1"
"257",43.0672708,-87.9459458,"AssaultOffense","1"
"258",43.0688398,-87.969436,"AssaultOffense","1"
"259",43.11474058,-87.99313985,"AssaultOffense","1"
"260",43.0976486,-87.9684282,"AssaultOffense","1"
"261",43.0126952,-87.9420206,"AssaultOffense","4"
"262",43.0909576,-87.9812989,"AssaultOffense","1"
"263",43.07711096,-87.95728655,"AssaultOffense","1"
"264",43.0526882,-87.9571728,"AssaultOffense","1"
"265",43.0464016,-87.9496883,"AssaultOffense","2"
"266",43.017129,-87.93067847,"AssaultOffense","4"
"267",43.15712548,-88.00670308,"AssaultOffense","1"
"268",43.00276123,-87.92758391,"AssaultOffense","4"
"269",43.07421528,-87.96978258,"AssaultOffense","1"
"270",43.07156387,-87.94002367,"AssaultOffense","1"
"271",42.9974358,-87.9532701,"AssaultOffense","4"
"272",43.089158,-87.9866121,"AssaultOffense","1"
"273",43.00246123,-87.90483626,"AssaultOffense","1"
"274",43.09703512,-87.93615934,"AssaultOffense","1"
"275",43.00245943,-87.93346847,"AssaultOffense","4"
"276",43.1050581,-87.9859085,"AssaultOffense","1"
"277",43.04597401,-87.95556343,"AssaultOffense","2"
"278",43.11762432,-88.02960926,"AssaultOffense","1"
"279",43.18619994,-88.00290861,"AssaultOffense","1"
"280",43.0780581,-87.9245766,"AssaultOffense","1"
"281",43.00098553,-87.93349932,"AssaultOffense","4"
"282",43.00098553,-87.93349932,"AssaultOffense","4"
"283",43.13871381,-88.03892581,"AssaultOffense","1"
"284",43.1067596,-88.0189648,"AssaultOffense","1"
"285",43.0886231,-88.0019157,"AssaultOffense","1"
"286",43.0671997,-87.9818267,"AssaultOffense","1"
"287",43.07420328,-87.94614159,"AssaultOffense","1"
"288",43.001141,-87.9204931,"AssaultOffense","4"
"289",43.0986902,-88.0130035,"AssaultOffense","1"
"290",43.01555372,-87.92267372,"AssaultOffense","4"
"291",43.1056975,-87.9724515,"AssaultOffense","1"
"292",43.0274975,-87.9173485,"AssaultOffense","1"
"293",43.18261074,-88.00266293,"AssaultOffense","1"
"294",43.0166622,-87.92244948,"AssaultOffense","4"
"295",43.1136481,-87.9988431,"AssaultOffense","1"
"296",43.0745535,-87.9451594,"AssaultOffense","1"
"297",43.1251567,-88.0037106,"AssaultOffense","1"
"298",43.0491485,-87.9411425,"AssaultOffense","2"
"299",43.06344162,-87.92676925,"AssaultOffense","1"
"300",42.9379086,-87.9533596,"AssaultOffense","1"
"301",43.08600036,-87.93096497,"AssaultOffense","1"
"302",43.1339852,-88.021905,"AssaultOffense","1"
"303",43.1049845,-87.9510536,"AssaultOffense","1"
"304",43.0568148,-87.9585423,"AssaultOffense","1"
"305",43.1834898,-87.9988285,"AssaultOffense","1"
"306",43.1228246,-87.9655219,"AssaultOffense","1"
"307",43.08460098,-87.92522507,"AssaultOffense","1"
"308",42.9604092,-87.9478097,"AssaultOffense","1"
"309",43.0478304,-87.9608415,"AssaultOffense","2"
"310",43.06111945,-87.93398537,"AssaultOffense","1"
"311",43.08670374,-87.9410912,"AssaultOffense","1"
"312",43.1336122,-88.006372,"AssaultOffense","1"
"313",43.0841089,-87.988,"AssaultOffense","1"
"314",43.0166437,-87.92527436,"AssaultOffense","4"
"315",43.1062802,-87.9890867,"AssaultOffense","1"
